Property Address,Parcel Number,Inspection Date,Grade,License Status,Expiration Date,Mappable Address
1204 Hill Street,912107410015,07/28/2011,Class C,Issued,10/14/2021,"1204 Hill Street
Urbana, IL
(-88.2246, 40.1196)"
605 South Webber Street,922116156008,05/03/2012,Class B,Issued,10/14/2021,"605 South Webber Street
Urbana, IL
(-88.1993, 40.108)"
2010 East Michigan Avenue,922116432054,01/23/2015,Class B,Issued,10/14/2021,"2010 East Michigan Avenue
Urbana, IL
(-88.1828, 40.102)"
807 North Mathews Avenue,912107406006,08/05/2011,Class B,Issued,10/14/2021,"807 North Mathews Avenue
Urbana, IL
(-88.226, 40.1199)"
1805 South Cottage Grove Avenue,932121107022,09/01/2017,Class B,Fee Exempt Registration,10/14/2020,"1805 South Cottage Grove Avenue
Urbana, IL
(40.0955047607, -88.1952514648)"
2405 South Whitson Circle,932121377021,04/12/2017,Class C,Expired,10/14/2019,"2405 South Whitson Circle
Urbana, IL
(40.0864257812, -88.1926651001)"
1304 South Montgomery Street,912115390010,02/13/2018,Class B,Expired,10/14/2019,"1304 South Montgomery Street
Urbana, IL
(40.1031494141, -88.1735076904)"
805 South Race Street,922117260005,07/11/2019,Class A,Issued,10/14/2021,"805 South Race Street
Urbana, IL
(40.10621, -88.20899)"
306 South Orchard Street,922117128007,06/02/2008,Class B,Issued,10/14/2021,"306 South Orchard Street
Urbana, IL
(-88.2145, 40.1103)"
1007 Clark Street,912107481017,03/23/2009,Class B,Issued,10/14/2021,"1007 Clark Street
Urbana, IL
(-88.2216, 40.1152)"
505 Springfield Avenue,922117110026,06/18/2013,Class B,Issued,10/14/2021,"505 Springfield Avenue
Urbana, IL
(-88.2139, 40.1121)"
807 Anderson Street,922117287021,11/05/2009,Class B,Expired,10/14/2021,"807 Anderson Street
Urbana, IL
(-88.2005, 40.1061)"
915 Harvey Street,912107280007,11/03/2011,Class B,Issued,,"915 Harvey Street
Urbana, IL
(-88.2223, 40.1212)"
806 Ohio Street,932117302006,06/03/2013,Class C,Issued,10/14/2021,"806 Ohio Street
Urbana, IL
(-88.2183, 40.104)"
306 East Michigan Avenue,932117430015,04/26/2007,Class B,Expired,10/14/2021,"306 East Michigan Avenue
Urbana, IL
(-88.2032, 40.1024)"
905 East Harding Drive,932121153007,05/03/2017,Class B,Issued,10/14/2021,"905 East Harding Drive
Urbana, IL
(40.093582, -88.19647)"
