Property Address,Parcel Number,Inspection Date,Grade,License Status,Expiration Date,Mappable Address
106 South Coler Avenue,922117110001,05/01/2013,Class B,Issued,10/14/2021,"106 South Coler Avenue
Urbana, IL
(-88.2158, 40.1119)"
1704 East Trails Drive,932128253014,02/15/2018,Class B,Issued,10/14/2021,"1704 East Trails Drive
Urbana, IL
(40.077293, -88.18611)"
402 Johnson Avenue,922116112007,04/11/2012,Class B,Issued,10/14/2021,"402 Johnson Avenue
Urbana, IL
(-88.1967, 40.11)"
135 West Main Street,922117206001,02/11/2020,Class B,Issued,10/14/2021,"135 West Main Street
Urbana, IL
(40.11219, -88.20877)"
1402 Laurel Drive,922116377010,02/15/2016,Class B,Expired,10/14/2021,"1402 Laurel Drive
Urbana, IL
(-88.1916, 40.101)"
1806 South Cottage Grove Avenue,932121126044,04/30/2010,Class B,Expired,10/14/2020,"1806 South Cottage Grove Avenue
Urbana, IL
(-88.1943, 40.0957)"
203 West Delaware Avenue,932117383009,12/30/2019,Class A,Issued,10/14/2021,"203 West Delaware Avenue
Urbana, IL
(40.098846, -88.21003)"
609 West Elm Street,922117111002,12/23/2008,Class B,Issued,10/14/2021,"609 West Elm Street
Urbana, IL
(-88.2156, 40.1112)"
1511 South Smith Road,912115385007,03/17/2015,Class B,Issued,10/14/2021,"1511 South Smith Road
Urbana, IL
(-88.1762, 40.0997)"
502 West Green Street Unit 104,922117127018,12/18/2008,Class B,Issued,,"502 West Green Street
Urbana, IL
(-88.2134, 40.1107)"
1120 Church Street,912107427011,11/16/2011,Class B,Issued,,"1120 Church Street
Urbana, IL
(-88.2239, 40.1185)"
502 West Green Street Unit 202,922117127024,02/28/2019,Class B,Issued,10/14/2021,"502 West Green Street
Urbana, IL
(40.1108360291, -88.2134857178)"
905 West Oregon Street,932118280007,12/19/2016,Class B,Expired,,"905 West Oregon Street
Urbana, IL
(-88.22, 40.1067)"
202 South Lincoln Avenue,922117102005,07/02/2012,Class B,Issued,10/14/2021,"202 South Lincoln Avenue
Urbana, IL
(-88.2191, 40.1112)"
1303 North Romine Street,912107205019,09/20/2011,Class A,Expired,10/14/2021,"1303 North Romine Street
Urbana, IL
(-88.2278, 40.1243)"
2004 Burlison Drive,932120254002,09/14/2016,Class B,Issued,,"2004 Burlison Drive
Urbana, IL
(-88.2078, 40.0936)"
1105 East Pennsylvania Avenue,922116380005,02/15/2016,Class B,Issued,10/14/2021,"1105 East Pennsylvania Avenue
Urbana, IL
(-88.1949, 40.0998)"
817 Hill Street,912108302006,08/11/2010,Class B,Issued,10/14/2021,"817 Hill Street
Urbana, IL
(-88.2188, 40.1189)"
705 South Cedar Street,922117184008,11/08/2019,Class B,Issued,10/14/2021,"705 South Cedar Street
Urbana, IL
(40.107124, -88.21045)"
803 West Green Street,922117103004,11/15/2018,Class B,Issued,10/14/2021,"803 West Green Street
Urbana, IL
(40.1103401184, -88.218208313)"
503 East Elm Street,922117235005,04/23/2010,Class B,Issued,,"503 East Elm Street
Urbana, IL
(-88.2021, 40.1115)"
901 Western Avenue,932118228010,01/10/2012,Class B,Issued,,"901 Western Avenue
Urbana, IL
(-88.2203, 40.1121)"
1607 Montgomery Street,912115387007,03/11/2015,Class B,Issued,10/14/2021,"1607 Montgomery Street
Urbana, IL
(-88.1741, 40.0992)"
713 West Washington Street,932117305002,12/15/2016,Class B,Issued,,"713 West Washington Street
Urbana, IL
(-88.2172, 40.1053)"
502 West Green Street Unit 313,922117127048,12/12/2008,Class B,Issued,10/14/2021,"502 West Green Street
Urbana, IL
(-88.2134, 40.1107)"
403 West Green Street,922117133004,04/30/2019,Class B,Issued,10/14/2021,"403 West Green Street
Urbana, IL
(40.110443, -88.21215)"
1502 South Race Street Unit 6,932117453131,12/09/2019,Class B,Issued,10/14/2021,"1502 South Race Street
Urbana, IL
(40.099705, -88.20939)"
1410 Beslin Street,912107253008,07/12/2011,Class C,Issued,10/14/2019,"1410 Beslin Street
Urbana, IL
(-88.2283, 40.1204)"
803 East California Avenue,922116157002,04/02/2012,Class B,Expired,10/14/2021,"803 East California Avenue
Urbana, IL
(-88.1987, 40.1083)"
1107 1/2 East Washington Street,922116326002,04/26/2013,Class B,Issued,10/14/2021,"1107 1 2 East Washington Street
Urbana, IL
(-88.1949, 40.1055)"
407 West Main Street,912108381007,08/29/2013,Class B,Issued,10/14/2021,"407 West Main Street
Urbana, IL
(-88.212, 40.113)"
1403 Laurel Drive,922116378021,03/02/2016,Class B,Issued,10/14/2021,"1403 Laurel Drive
Urbana, IL
(-88.1915, 40.1006)"
805 East High Street,922116110007,04/10/2012,Class C,Issued,10/14/2021,"805 East High Street
Urbana, IL
(-88.1987, 40.1098)"
3110 South Chatham Drive,932128253003,11/29/2017,Class B,Issued,10/14/2021,"3110 South Chatham Drive
Urbana, IL
(40.07781, -88.1859)"
802 West Illinois Street,922117103018,07/06/2018,Class B,Issued,10/14/2021,"802 West Illinois Street
Urbana, IL
(40.1093521118, -88.2179946899)"
803 South McCullough Street,922117162014,04/10/2019,Class B,Expired,10/14/2020,"803 South McCullough Street
Urbana, IL
(40.1061058044, -88.2132949829)"
904 Stoughton Street,912107486014,01/23/2009,Class B,Issued,10/14/2021,"904 Stoughton Street
Urbana, IL
(-88.2198, 40.1138)"
210 West Illinois Street,922117143004,03/26/2009,Class B,Issued,10/14/2021,"210 West Illinois Street
Urbana, IL
(-88.2099, 40.1094)"
308 North Lincoln Avenue,912108353001,05/18/2011,Class B,Issued,10/14/2018,"308 North Lincoln Avenue
Urbana, IL
(-88.2191, 40.1153)"
2202 East Vermont Avenue,912115352020,03/12/2015,Class C,Issued,10/14/2021,"2202 East Vermont Avenue
Urbana, IL
(-88.1796, 40.1006)"
1308 South Montgomery Street,912115390008,02/22/2018,Class C,Issued,10/14/2021,"1308 South Montgomery Street
Urbana, IL
(40.102898, -88.1735)"
1614 Ivanhoe Way,922116404027,08/28/2014,Class B,Issued,,"1614 Ivanhoe Way
Urbana, IL
(-88.1874, 40.1016)"
1009 North Busey Avenue,912108152031,02/20/2012,Class A,Expired,,"1009 North Busey Avenue
Urbana, IL
(-88.2173, 40.1217)"
1310 Ellis Drive,912107208017,12/20/2011,Class A,Issued,,"1310 Ellis Drive
Urbana, IL
(-88.2269, 40.1242)"
1006 Austin Drive,922116402018,12/23/2014,Class A,Issued,10/14/2021,"1006 Austin Drive
Urbana, IL
(-88.1873, 40.1047)"
1006 East Water Street,912109378002,03/16/2012,Class B,Issued,10/14/2021,"1006 East Water Street
Urbana, IL
(-88.1942, 40.1142)"
701 Sunny Lane,912115180028,03/26/2015,Class A,Issued,10/14/2021,"701 Sunny Lane
Urbana, IL
(-88.1729, 40.1071)"
901 West Main Street,912107486007,05/12/2009,Class B,Issued,,"901 West Main Street
Urbana, IL
(-88.2196, 40.1143)"
1113 Hill Street,912107427004,12/16/2011,Class B,Expired,,"1113 Hill Street
Urbana, IL
(-88.2232, 40.119)"
606 West Elm Street,922117110005,06/12/2013,Class B,Issued,10/14/2021,"606 West Elm Street
Urbana, IL
(-88.2155, 40.1119)"
604 South Lincoln Avenue,922117152006,06/28/2018,Class B,Issued,10/14/2021,"604 South Lincoln Avenue
Urbana, IL
(40.1079406738, -88.2189788818)"
2005 East Rainbow View,922116431010,08/20/2018,Class B,Expired,10/14/2019,"2005 East Rainbow View
Urbana, IL
(40.1029472351, -88.1831665039)"
106 East Oregon Street,922117257008,12/17/2009,Class B,Issued,10/14/2021,"106 East Oregon Street
Urbana, IL
(-88.2066, 40.1078)"
506 East Harding Drive,932120280013,08/24/2016,Class B,Issued,10/14/2021,"506 East Harding Drive
Urbana, IL
(-88.2017, 40.0941)"
1605 South Cottage Grove Avenue,922116354019,03/29/2016,Class C,Issued,,"1605 South Cottage Grove Avenue
Urbana, IL
(-88.1959, 40.0988)"
1004 South Smith Road,912115326012,04/25/2008,Class B,Issued,10/14/2021,"1004 South Smith Road
Urbana, IL
(-88.1746, 40.1043)"
401 East Green Street,922117239001,07/31/2007,Class B,Issued,10/14/2021,"401 East Green Street
Urbana, IL
(-88.2035, 40.1106)"
204 North Lincoln Avenue,912108354022,08/06/2010,Class B,Expired,10/14/2021,"204 North Lincoln Avenue
Urbana, IL
(-88.2191, 40.114)"
906 Linview Avenue,912108152016,03/22/2013,Class B,Expired,10/14/2021,"906 Linview Avenue
Urbana, IL
(-88.2178, 40.1209)"
607 East McHenry Street,932121351007,02/21/2017,Class B,Issued,10/14/2021,"607 East McHenry Street
Urbana, IL
(40.087578, -88.19994)"
2901 South Myra Ridge Drive,932128226013,03/01/2018,Class B,Issued,10/14/2021,"2901 South Myra Ridge Drive
Urbana, IL
(40.08139, -88.185555)"
410 East Brookens Drive,932120476017,04/13/2017,Class B,Issued,10/14/2021,"410 East Brookens Drive
Urbana, IL
(40.087246, -88.201836)"
1103 East Willard Street,932121380005,07/19/2017,Class B,Issued,10/14/2021,"1103 East Willard Street
Urbana, IL
(40.084064, -88.19511)"
1905 Weaver Street,922116430023,02/02/2015,Class B,Issued,,"1905 Weaver Street
Urbana, IL
(-88.1839, 40.104)"
702 East Green Street,922116102010,06/26/2009,Class B,Issued,10/14/2021,"702 East Green Street
Urbana, IL
(-88.1998, 40.111)"
502 West Green Street Unit 204,922117127026,12/22/2008,Class A,Issued,10/14/2021,"502 West Green Street
Urbana, IL
(-88.2134, 40.1107)"
601 Fairview Avenue,912108308011,04/16/2014,Class B,Issued,,"601 Fairview Avenue
Urbana, IL
(-88.215, 40.1199)"
1102 1/2 Brighton Drive,932121177009,06/04/2013,Class A,Issued,10/14/2021,"1102 1 2 Brighton Drive
Urbana, IL
(-88.1948, 40.0933)"
1107 West Oregon Street,932118277006,05/08/2017,Class B,Issued,10/14/2021,"1107 West Oregon Street
Urbana, IL
(40.1066932678, -88.2224578857)"
108 South Cottage Grove Avenue,922116126010,06/29/2012,Class B,Issued,,"108 South Cottage Grove Avenue
Urbana, IL
(-88.1954, 40.1121)"
809 East Park Street,912109305005,06/07/2010,Class B,Issued,10/14/2021,"809 East Park Street
Urbana, IL
(-88.1979, 40.117)"
811 Clark Street,912108353006,05/17/2011,Class B,Issued,,"811 Clark Street
Urbana, IL
(-88.2186, 40.1153)"
610 East Burkwood Court East,932121102002,08/15/2017,Class B,Issued,10/14/2021,"610 East Burkwood Court East
Urbana, IL
(40.096764, -88.200035)"
1401 East Mumford Drive,932121332001,04/25/2017,Class B,Issued,10/14/2021,"1401 East Mumford Drive
Urbana, IL
(40.0904922485, -88.1914291382)"
1101 East Scovill Street,932121378001,04/19/2017,Class B,Issued,10/14/2021,"1101 East Scovill Street
Urbana, IL
(40.085655, -88.1952)"
1609 Ivanhoe Way,922116454021,12/23/2014,Class B,Issued,10/14/2021,"1609 Ivanhoe Way
Urbana, IL
(-88.1885, 40.1017)"
912 South Lierman Avenue Unit D,922116402042,07/21/2014,Class B,Issued,,"912 South Lierman Avenue
Unit D Urbana, IL
(-88.1887, 40.1056)"
1011 Geraldine Avenue,912108277012,07/30/2010,Class B,Issued,,"1011 Geraldine Avenue
Urbana, IL
(-88.2031, 40.1229)"
2105 Lantern Hill Drive,912115304005,04/09/2015,Class B,Issued,,"2105 Lantern Hill Drive
Urbana, IL
(-88.1807, 40.1038)"
709 West Green Street,922117107018,11/05/2012,Class B,Issued,10/14/2021,"709 West Green Street
Urbana, IL
(-88.217, 40.1104)"
1002 East Florida Avenue,922116354015,06/14/2016,Class B,Expired,10/14/2021,"1002 East Florida Avenue
Urbana, IL
(-88.1965, 40.0986)"
1206 North Lincoln Avenue,912108151003,12/06/2011,Class B,Issued,10/14/2021,"1206 North Lincoln Avenue
Urbana, IL
(-88.2191, 40.1232)"
1104 Lanore Drive,922116432002,01/15/2015,Class B,Issued,10/14/2021,"1104 Lanore Drive
Urbana, IL
(-88.1863, 40.1035)"
1803 Pleasant Street,932120202005,07/26/2016,Class B,Issued,,"1803 Pleasant Street
Urbana, IL
(-88.2069, 40.0963)"
1605 Hillcrest Street,932117478020,02/19/2010,Class B,Issued,10/14/2021,"1605 Hillcrest Street
Urbana, IL
(-88.2038, 40.0986)"
814 Clark Street,912108352006,08/24/2010,Class B,Issued,,"814 Clark Street
Urbana, IL
(-88.219, 40.1157)"
1208 Beech Street,912107259011,06/06/2011,Class C,Issued,,"1208 Beech Street
Urbana, IL
(-88.2251, 40.1225)"
1403 Philo Road,922116378044,04/07/2016,Class B,Issued,,"1403 Philo Road
Urbana, IL
(-88.1908, 40.1004)"
704 West Washington Street,922117158015,02/25/2008,Class B,Issued,,"704 West Washington Street
Urbana, IL
(-88.2164, 40.1057)"
1008 East Oregon Street,922116160010,12/19/2012,Class B,Issued,10/14/2021,"1008 East Oregon Street
Urbana, IL
(-88.196, 40.1079)"
2110 East Country Squire Drive,912115305025,04/22/2015,Class B,Expired,10/14/2021,"2110 East Country Squire Drive
Urbana, IL
(-88.1801, 40.1027)"
1402 East McHenry Street,932121332012,05/02/2017,Class B,Issued,10/14/2021,"1402 East McHenry Street
Urbana, IL
(40.088047, -88.19139)"
1008 East Main Street,912109355018,02/23/2012,Class B,Issued,10/14/2021,"1008 East Main Street
Urbana, IL
(-88.1961, 40.1132)"
502 West Green Street Unit 209,922117127031,12/12/2008,Class B,Issued,10/14/2021,"502 West Green Street
Urbana, IL
(-88.2134, 40.1107)"
204 Hartle Avenue,922116129007,06/30/2009,Class B,Issued,10/14/2021,"204 Hartle Avenue
Urbana, IL
(-88.1919, 40.1117)"
1004 East Florida Avenue,922116354016,05/17/2016,Class B,Issued,10/14/2021,"1004 East Florida Avenue
Urbana, IL
(-88.1963, 40.0986)"
1108 East Michigan Avenue,922116376025,04/29/2013,Class B,Issued,10/14/2021,"1108 East Michigan Avenue
Urbana, IL
(-88.1947, 40.1019)"
614 West California Avenue,922117159007,06/10/2019,Class B,Issued,10/14/2021,"614 West California Avenue
Urbana, IL
(40.1085281372, -88.2157897949)"
3007 Rutherford Drive,912110407052,03/12/2015,Class B,Issued,,"3007 Rutherford Drive
Urbana, IL
(-88.1635, 40.1154)"
1108 South Kinch Street,912115304003,04/05/2018,Class B,Issued,10/14/2021,"1108 South Kinch Street
Urbana, IL
(40.1034126282, -88.1811294556)"
309 South Coler Avenue,922117107015,08/27/2007,Class B,Issued,10/14/2019,"309 South Coler Avenue
Urbana, IL
(-88.2163, 40.1101)"
1104 Wabash Avenue,922116304015,03/04/2016,Class A,Issued,,"1104 Wabash Avenue
Urbana, IL
(-88.1964, 40.1036)"
2508 East Florida Avenue,912115387004,06/14/2018,Class B,Issued,10/14/2021,"2508 East Florida Avenue
Urbana, IL
(40.09875, -88.17416)"
910 South Webber Street,922116302009,11/26/2012,Class B,Issued,10/14/2021,"910 South Webber Street
Urbana, IL
(-88.199, 40.1046)"
804 North Lincoln Avenue,912108301003,07/20/2010,Class C,Issued,,"804 North Lincoln Avenue
Urbana, IL
(-88.2191, 40.1195)"
709 North Coler Avenue,912108305014,02/12/2014,Class B,Issued,10/14/2021,"709 North Coler Avenue
Urbana, IL
(-88.216, 40.1191)"
813 Hill Street,912108302008,08/15/2014,Class B,Issued,10/14/2020,"813 Hill Street
Urbana, IL
(-88.2184, 40.1189)"
1007 South Cottage Grove Avenue,922116304022,03/29/2016,Class B,Expired,,"1007 South Cottage Grove Avenue
Urbana, IL
(-88.1959, 40.1042)"
1403 East McHenry Street,932121377007,04/17/2017,Class B,Issued,10/14/2021,"1403 East McHenry Street
Urbana, IL
(40.087600708, -88.1912460327)"
1902 Willow Road,912104351004,05/21/2010,Class B,Issued,,"1902 Willow Road
Urbana, IL
(-88.2007, 40.1305)"
803 West Illinois Street,922117151007,09/12/2018,Class B,Issued,10/14/2022,"803 West Illinois Street
Urbana, IL
(40.1086616516, -88.2182617188)"
303 South Busey Avenue,922117103019,09/19/2018,Class B,Issued,10/14/2021,"303 South Busey Avenue
Urbana, IL
(40.11, -88.21822)"
105 Glover Avenue,922116127019,06/01/2012,Class B,Issued,10/14/2021,"105 Glover Avenue
Urbana, IL
(-88.1937, 40.1123)"
806 East Burkwood Drive,932121103024,09/14/2017,Class B,Issued,10/14/2021,"806 East Burkwood Drive
Urbana, IL
(40.096985, -88.1977)"
1105 South Country Squire Drive,922116432015,01/08/2015,Class B,Issued,10/14/2021,"1105 South Country Squire Drive
Urbana, IL
(-88.1859, 40.1033)"
807 East Park Street,912109305004,06/07/2010,Class B,Issued,10/14/2021,"807 East Park Street
Urbana, IL
(-88.1981, 40.117)"
1301 East Michigan Avenue,922116377001,04/18/2016,Class B,Issued,10/14/2021,"1301 East Michigan Avenue
Urbana, IL
(-88.1925, 40.1014)"
204 Harvey Street,912107482019,12/03/2008,Class B,Issued,10/14/2021,"204 Harvey Street
Urbana, IL
(-88.2221, 40.1138)"
703 West Illinois Street,922117155007,04/09/2019,Class B,Expired,10/14/2020,"703 West Illinois Street
Urbana, IL
(40.108852, -88.21645)"
3030 East Stillwater Landing Unit 101,932122406017,12/11/2017,Class B,Issued,10/14/2021,"3030 East Stillwater Landing
Urbana, IL
(40.09063, -88.1669)"
704 West Nevada Street,922117157013,05/31/2018,Class B,Issued,10/14/2021,"704 West Nevada Street
Urbana, IL
(40.10679245, -88.2164154053)"
1904 East Country Squire Drive,922116431023,01/27/2015,Class B,Expired,10/14/2021,"1904 East Country Squire Drive
Urbana, IL
(-88.1846, 40.1027)"
205 West High Street,922117213002,04/28/2009,Class B,Issued,10/14/2021,"205 West High Street
Urbana, IL
(-88.2095, 40.1097)"
1301 Mitchem Drive,932121181008,02/13/2013,Class B,Issued,,"1301 Mitchem Drive
Urbana, IL
(-88.1928, 40.092)"
202 West Oregon Street,922117255008,07/29/2019,Class A,Issued,10/14/2021,"202 West Oregon Street
Urbana, IL
(40.1077232361, -88.2091217041)"
904 North Broadway Avenue Unit 216,912108257065,02/04/2008,Class B,Expired,10/14/2021,"904 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1206)"
302 Grove Street,922117241001,03/11/2010,Class B,Expired,10/14/2021,"302 Grove Street
Urbana, IL
(-88.201, 40.1107)"
1002 South Lierman Avenue Unit A,922116402047,07/21/2014,Class B,Issued,10/14/2021,"1002 South Lierman Avenue
Unit A Urbana, IL
(-88.1887, 40.1047)"
407 East Elm Street,922117234005,06/19/2007,Class B,Issued,10/14/2021,"407 East Elm Street
Urbana, IL
(-88.2028, 40.1115)"
912 South Lierman Avenue Unit B,922116402040,07/21/2014,Class B,Issued,10/14/2019,"912 South Lierman Avenue
Unit B Urbana, IL
(-88.1887, 40.1056)"
804 1/2 South Lynn Street,922116163013,01/29/2013,Class B,Issued,10/14/2021,"804 1 2 South Lynn Street
Urbana, IL
(-88.1975, 40.1064)"
804 West Illinois Street,922117103013,06/07/2018,Class B,Issued,10/14/2021,"804 West Illinois Street
Urbana, IL
(40.109497, -88.21832)"
1011 Division Avenue,912108256011,06/10/2010,Class B,Issued,,"1011 Division Avenue
Urbana, IL
(-88.2055, 40.1228)"
103 Grossbach Drive,922116104022,03/05/2012,Class B,Issued,10/14/2021,"103 Grossbach Drive
Urbana, IL
(-88.197, 40.1123)"
2017 Cureton Drive,932120281039,06/12/2013,Class B,Issued,,"2017 Cureton Drive
Urbana, IL
(-88.2009, 40.0917)"
701 West Elm Street,922117106007,07/11/2018,Class B,Issued,10/14/2021,"701 West Elm Street
Urbana, IL
(40.1112556458, -88.2163848877)"
508 Stoughton Street,912108363018,04/29/2008,Class B,Issued,10/14/2022,"508 Stoughton Street
Urbana, IL
(-88.2143, 40.1132)"
1702 East Michigan Avenue,922116432011,01/06/2015,Class B,Issued,,"1702 East Michigan Avenue
Urbana, IL
(-88.1862, 40.1019)"
701 East Michigan Avenue,922116351001,03/02/2016,Class B,Issued,,"701 East Michigan Avenue
Urbana, IL
(-88.1998, 40.1014)"
206 West High Street,922117211007,11/25/2014,Class C,Expired,,"206 West High Street
Urbana, IL
(-88.2095, 40.1101)"
803 1/2 East Oregon Street,922116162002,11/27/2012,Class B,Issued,10/14/2021,"803 1 2 East Oregon Street
Urbana, IL
(-88.1986, 40.1075)"
1001 Stoughton Street,912107483007,12/20/2011,Class B,Issued,10/14/2021,"1001 Stoughton Street
Urbana, IL
(-88.2209, 40.1134)"
2602 A South Anderson Street,932121357006,03/27/2017,Class B,Issued,10/14/2021,"2602 A South Anderson Street
Urbana, IL
(40.0842247009, -88.1990890503)"
206 South Cottage Grove Avenue,922116126014,05/11/2012,Class B,Expired,,"206 South Cottage Grove Avenue
Urbana, IL
(-88.1954, 40.1116)"
702 Sunny Lane,912115181008,04/29/2015,Class B,Issued,10/14/2021,"702 Sunny Lane
Urbana, IL
(-88.1722, 40.1071)"
1616 Ivanhoe Way,922116404028,07/14/2014,Class B,Issued,10/14/2020,"1616 Ivanhoe Way
Urbana, IL
(-88.1872, 40.1015)"
1204 Mitchem Drive Unit A,932121178016,06/04/2013,Class B,Issued,,"1204 Mitchem Drive
Unit A Urbana, IL
(-88.1935, 40.0925)"
1009 East Michigan Avenue,922116351022,03/17/2016,Class B,Issued,10/14/2021,"1009 East Michigan Avenue
Urbana, IL
(-88.1959, 40.1014)"
102 South Dodson Drive,912115128001,12/15/2017,Class B,Issued,10/14/2021,"102 South Dodson Drive
Urbana, IL
(40.1127586365, -88.1755142212)"
211 West Illinois Street,922117186002,09/06/2019,Class C,Issued,10/14/2021,"211 West Illinois Street
Urbana, IL
(40.10895, -88.20998)"
713 East Michigan Avenue,922116351008,08/25/2016,Class B,Expired,,"713 East Michigan Avenue
Urbana, IL
(-88.1987, 40.1014)"
204 South Cottage Grove Avenue,922116126013,06/29/2012,Class B,Issued,,"204 South Cottage Grove Avenue
Urbana, IL
(-88.1954, 40.1117)"
604 Stoughton Street,912108363025,05/14/2008,Class B,Issued,10/14/2021,"604 Stoughton Street
Urbana, IL
(-88.215, 40.1132)"
1303 Mitchem Drive,932121181009,02/13/2013,Class B,Issued,10/14/2021,"1303 Mitchem Drive
Urbana, IL
(-88.1925, 40.0921)"
2001 East Florida Avenue Unit A,922116481046,01/16/2015,Class B,Issued,10/14/2021,"2001 East Florida Avenue
Unit A Urbana, IL
(-88.1853, 40.0983)"
1306 East Mitchem Drive,932121179003,03/20/2017,Class B,Issued,10/14/2021,"1306 East Mitchem Drive
Urbana, IL
(40.0924987793, -88.1924819946)"
904 North Broadway Avenue Unit 17,912108257030,02/04/2008,Class B,Expired,10/14/2021,"904 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1206)"
1008 Austin Drive,922116402019,01/20/2016,Class B,Issued,10/14/2021,"1008 Austin Drive
Urbana, IL
(-88.1873, 40.1046)"
105 West Florida Avenue,932120201009,02/24/2020,Class B,Issued,10/14/2021,"105 West Florida Avenue
Urbana, IL
(40.0981216431, -88.2084274292)"
1120 South Lanore Drive,922116432010,04/05/2018,Class B,Issued,10/14/2021,"1120 South Lanore Drive
Urbana, IL
(40.102055, -88.186264)"
1009 East Willard Street,932121380003,02/28/2017,Class C,Issued,10/14/2021,"1009 East Willard Street
Urbana, IL
(40.08406, -88.195694)"
905 South Lynn Street,922116302018,07/10/2012,Class B,Issued,10/14/2021,"905 South Lynn Street
Urbana, IL
(-88.1982, 40.1052)"
404 Urbana Avenue,922117243002,06/29/2007,Class B,Expired,10/14/2021,"404 Urbana Avenue
Urbana, IL
(-88.2034, 40.1096)"
904 North Broadway Avenue Unit 201,912108257050,02/04/2008,Class B,Issued,10/14/2021,"904 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1206)"
1109 South Country Squire Drive,922116432017,03/07/2018,Class B,Expired,10/14/2019,"1109 South Country Squire Drive
Urbana, IL
(40.1029319763, -88.1857452393)"
701 North Coler Avenue,912108305021,02/12/2014,Class B,Issued,10/14/2021,"701 North Coler Avenue
Urbana, IL
(-88.2159, 40.1186)"
704 South Cottage Grove Avenue,922116179006,06/29/2015,Class B,Issued,10/14/2021,"704 South Cottage Grove Avenue
Urbana, IL
(-88.1952, 40.1073)"
1215 Beslin Street,912107410001,07/14/2011,Class B,Issued,10/14/2021,"1215 Beslin Street
Urbana, IL
(-88.2241, 40.1203)"
505 South Webber Street,922116151008,12/19/2012,Class B,Issued,10/14/2021,"505 South Webber Street
Urbana, IL
(-88.1993, 40.1087)"
712 South Vine Street,922117284006,01/29/2020,Class B,Issued,10/14/2021,"712 South Vine Street
Urbana, IL
(40.106628418, -88.2045593262)"
1123 Lanore Drive,922116404025,07/18/2014,Class B,Issued,10/14/2021,"1123 Lanore Drive
Urbana, IL
(-88.1868, 40.1017)"
1612 Fairlawn Drive,922116455089,03/22/2016,Class B,Issued,10/14/2021,"1612 Fairlawn Drive
Urbana, IL
(-88.1884, 40.1012)"
812 Hill Street,912108301015,07/09/2010,Class B,Issued,10/14/2021,"812 Hill Street
Urbana, IL
(-88.2183, 40.1194)"
804 Church Street,912108302019,02/06/2014,Class B,Issued,10/14/2021,"804 Church Street
Urbana, IL
(-88.2176, 40.1185)"
1603 Abercorn Street,912115388009,02/27/2015,Class B,Issued,10/14/2021,"1603 Abercorn Street
Urbana, IL
(-88.1728, 40.0994)"
802 East Green Street,922116103008,06/06/2018,Class B,Issued,10/14/2021,"802 East Green Street
Urbana, IL
(40.1111183167, -88.1990127563)"
808 East Scovill Street,932121356019,02/21/2017,Class B,Issued,10/14/2021,"808 East Scovill Street
Urbana, IL
(40.08567, -88.19781)"
704 Sunny Lane,912115181009,03/26/2015,Class B,Issued,10/14/2021,"704 Sunny Lane
Urbana, IL
(-88.1722, 40.1069)"
3011 Rutherford Drive,912110407050,03/12/2015,Class B,Issued,,"3011 Rutherford Drive
Urbana, IL
(-88.1635, 40.1156)"
808 East Washington Street,922116162026,08/08/2015,Class B,Issued,10/14/2021,"808 East Washington Street
Urbana, IL
(-88.1981, 40.1059)"
803 East Harding Drive,932121153004,07/09/2013,Class A,Expired,,"803 East Harding Drive
Urbana, IL
(-88.1973, 40.0936)"
1503 Philo Road,922116379044,05/04/2016,Class B,Issued,,"1503 Philo Road
Urbana, IL
(-88.1908, 40.0997)"
1205 Beech Street,912107260005,06/30/2011,Class B,Expired,,"1205 Beech Street
Urbana, IL
(-88.2249, 40.1219)"
1107 Austin Drive,922116403005,08/08/2014,Class B,Issued,10/14/2021,"1107 Austin Drive
Urbana, IL
(-88.1878, 40.1031)"
203 North Gregory Street,912107482022,03/23/2009,Class B,Issued,,"203 North Gregory Street
Urbana, IL
(-88.2209, 40.1138)"
605 West High Street,922117113004,01/16/2009,Class B,Issued,10/14/2021,"605 West High Street
Urbana, IL
(-88.2152, 40.1096)"
115 West Washington Street,932117401007,11/01/2019,Class B,Issued,10/14/2021,"115 West Washington Street
Urbana, IL
(40.1052856445, -88.2091674805)"
510 West California Avenue,922117176007,06/10/2008,Class B,Issued,10/14/2021,"510 West California Avenue
Urbana, IL
(-88.2141, 40.1085)"
1202 A East Silver Street,932121181016,04/07/2017,Class B,Expired,10/14/2020,"1202 A East Silver Street
Urbana, IL
(40.0917167664, -88.1935348511)"
505 West California Avenue,922117177004,06/02/2008,Class B,Issued,10/14/2021,"505 West California Avenue
Urbana, IL
(-88.2137, 40.1081)"
325 East Fairlawn Drive,932117428108,02/25/2020,Class B,Issued,10/14/2021,"325 East Fairlawn Drive
Urbana, IL
(40.1033287048, -88.2038040161)"
711 West Elm Street,922117106017,07/10/2012,Class B,Issued,10/14/2021,"711 West Elm Street
Urbana, IL
(-88.2173, 40.1112)"
1411 Beardsley Avenue,912107205001,08/01/2011,Class B,Issued,10/14/2021,"1411 Beardsley Avenue
Urbana, IL
(-88.2289, 40.126)"
1004 South Lanore Drive,922116426007,04/05/2018,Class B,Issued,10/14/2021,"1004 South Lanore Drive
Urbana, IL
(40.1044921875, -88.1863250732)"
