Property Address	Parcel Number	Inspection Date	Grade	License Status	Expiration Date	Mappable Address
1705 Willow Court	912105477032.00	7/13/2010	Class A	Issued	10/14/2020	"1705 Willow Court
Urbana, IL
(-88.2014, 40.1288)"
408 West Oregon Street	922117179018.00	4/17/2019	Class B	Issued	10/14/2021	"408 West Oregon Street
Urbana, IL
(40.107749939, -88.2125396729)"
701 West Washington Street	932117305008.00	12/3/2007	Class B	Issued	10/14/2021	"701 West Washington Street
Urbana, IL
(-88.2161, 40.1053)"
904 South Race Street	932117401004.00	12/18/2019	Class B	Expired	10/14/2020	"904 South Race Street
Urbana, IL
(40.1050033569, -88.2092895508)"
1005 North Busey Avenue	912108152033.00	2/20/2012	Class B	Issued	10/14/2021	"1005 North Busey Avenue
Urbana, IL
(-88.2173, 40.1214)"
308 East Iowa Street	932117426024.00	1/17/2020	Class B	Issued	10/14/2021	"308 East Iowa Street
Urbana, IL
(40.1049842834, -88.2038574219)"
503 West California Avenue	922117177005.00	4/16/2008	Class B	Expired		"503 West California Avenue
Urbana, IL
(-88.2135, 40.1081)"
2016 Vawter Street	932121180008.00	2/11/2013	Class B	Issued		"2016 Vawter Street
Urbana, IL
(-88.1916, 40.0917)"
109 East George Huff Drive	932120403009.00	8/25/2016	Class B	Issued	10/14/2021	"109 East George Huff Drive
Urbana, IL
(-88.2059, 40.0908)"
806 Fairlawn Drive	922116302033.00	3/8/2016	Class B	Expired	10/14/2021	"806 Fairlawn Drive
Urbana, IL
(-88.1983, 40.1033)"
810 Stoughton Street	912108354012.00	10/12/2010	Class B	Issued		"810 Stoughton Street
Urbana, IL
(-88.2187, 40.1138)"
1002 Springfield Avenue	912107483014.00	2/16/2009	Class B	Issued	10/14/2021	"1002 Springfield Avenue
Urbana, IL
(-88.2209, 40.113)"
612 West Elm Street	922117110002.00	12/23/2008	Class B	Issued	10/14/2021	"612 West Elm Street
Urbana, IL
(-88.2159, 40.1117)"
901 Harvey Street	912107280014.00	12/13/2011	Class A	Issued	10/14/2019	"901 Harvey Street
Urbana, IL
(-88.2222, 40.1202)"
1314 East Brighton Drive	932121177022.00	3/10/2017	Class A	Issued	10/14/2021	"1314 East Brighton Drive
Urbana, IL
(40.0932884216, -88.1922912598)"
103 South McCullough Street	922117110020.00	5/14/2013	Class B	Expired	10/14/2021	"103 South McCullough Street
Urbana, IL
(-88.2135, 40.1121)"
1208 Eureka Street	912107206023.00	8/30/2011	Class B	Expired	10/14/2020	"1208 Eureka Street
Urbana, IL
(-88.2252, 40.1258)"
1009 Clark Street	912107481002.00	3/31/2009	Class B	Issued	10/14/2021	"1009 Clark Street
Urbana, IL
(-88.2219, 40.1152)"
601 South Busey Avenue	922117152012.00	7/30/2018	Class B	Temporarily Not a Rental	10/14/2019	"601 South Busey Avenue
Urbana, IL
(40.1080856323, -88.2180557251)"
802 Fairlawn Drive	922116302031.00	2/29/2016	Class B	Expired	10/14/2018	"802 Fairlawn Drive
Urbana, IL
(-88.1988, 40.1035)"
315 North Orchard Street	912108362008.00	6/2/2008	Class B	Issued	10/14/2020	"315 North Orchard Street
Urbana, IL
(-88.215, 40.1148)"
308 South Poplar Street	922116131004.00	6/6/2012	Class C	Issued	10/14/2020	"308 South Poplar Street
Urbana, IL
(-88.1942, 40.1104)"
