Property Address	Parcel Number	Inspection Date	Grade	License Status	Expiration Date	Mappable Address
805 West Oregon Street	922117153003.00	11/5/2012	Class C	Issued	10/14/2021	"805 West Oregon Street
Urbana, IL
(-88.2189, 40.1073)"
501 West High Street	922117129005.00	4/18/2008	Class B	Issued		"501 West High Street
Urbana, IL
(-88.2134, 40.1096)"
1105 Austin Drive	922116403004.00	8/8/2014	Class C	Expired	10/14/2019	"1105 Austin Drive
Urbana, IL
(-88.1878, 40.1033)"
113 North Poplar Street	912109377009.00	8/27/2009	Class C	Expired	10/14/2021	"113 North Poplar Street
Urbana, IL
(-88.195, 40.1141)"
307 West Elm Street	922117136003.00	10/1/2019	Class B	Issued	10/14/2021	"307 West Elm Street
Urbana, IL
(40.111298, -88.211174)"
1512 Montgomery Street	912115388022.00	3/11/2015	Class B	Issued	10/14/2021	"1512 Montgomery Street
Urbana, IL
(-88.1736, 40.0997)"
702 West Oregon Street	922117156018.00	4/3/2018	Class B	Issued	10/14/2021	"702 West Oregon Street
Urbana, IL
(40.1076316833, -88.2163772583)"
1009 West Main Street	912107482002.00	5/5/2009	Class B	Issued	10/14/2021	"1009 West Main Street
Urbana, IL
(-88.2218, 40.1143)"
1603 South Cottage Grove Avenue	922116354018.00	3/22/2016	Class C	Issued	10/14/2021	"1603 South Cottage Grove Avenue
Urbana, IL
(-88.1958, 40.099)"
1119 Lanore Drive	922116404023.00	5/1/2015	Class B	Expired	10/14/2021	"1119 Lanore Drive
Urbana, IL
(-88.1868, 40.1021)"
903 East Main Street	922116104002.00	9/24/2018	Class B	Issued	10/14/2021	"903 East Main Street
Urbana, IL
(40.11274, -88.197495)"
813 Clark Street	912108353005.00	5/17/2011	Class B	Issued	10/14/2021	"813 Clark Street
Urbana, IL
(-88.2189, 40.1152)"
1108 South Country Squire Drive	922116431020.00	1/27/2015	Class B	Expired	10/14/2021	"1108 South Country Squire Drive
Urbana, IL
(-88.1851, 40.1031)"
1403 North Goodwin Avenue	912107207027.00	11/29/2011	Class B	Issued		"1403 North Goodwin Avenue
Urbana, IL
(-88.2245, 40.1252)"
203 Crystal Lake Drive	912108405010.00	9/28/2010	Class B	Expired	10/14/2021	"203 Crystal Lake Drive
Urbana, IL
(-88.206, 40.1186)"
1205 Tremont Street	912107208014.00	10/17/2011	Class B	Issued	10/14/2021	"1205 Tremont Street
Urbana, IL
(-88.2249, 40.1246)"
1207 East Green Street	922116131011.00	6/29/2014	Class B	Issued	10/14/2021	"1207 East Green Street
Urbana, IL
(-88.1938, 40.1108)"
1419 Abercorn Street	912115388048.00	5/12/2015	Class B	Issued		"1419 Abercorn Street
Urbana, IL
(-88.1729, 40.1006)"
1503 South Smith Road	912115385011.00	3/17/2015	Class A	Issued		"1503 South Smith Road
Urbana, IL
(-88.1762, 40.1001)"
904 North Broadway Avenue Unit 213	912108257062.00	2/4/2008	Class B	Expired	10/14/2021	"904 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1206)"
908 Stoughton Street	912107486009.00	12/3/2008	Class B	Issued	10/14/2021	"908 Stoughton Street
Urbana, IL
(-88.2198, 40.1138)"
2212 Anderson Street	932121305002.00	6/11/2013	Class A	Expired	10/14/2021	"2212 Anderson Street
Urbana, IL
(-88.1995, 40.0882)"
1108 Church Street	912107427017.00	11/3/2011	Class B	Issued		"1108 Church Street
Urbana, IL
(-88.2226, 40.1185)"
1002 East Harding Drive Unit 101	932121152016.00	4/28/2017	Class A	Issued	10/14/2021	"1002 East Harding Drive
Urbana, IL
(40.093987, -88.195915)"
607 Colorado Avenue	932120280010.00	8/23/2016	Class C	Issued	10/14/2021	"607 Colorado Avenue
Urbana, IL
(-88.2005, 40.0947)"
1401 Grove Street	932117480003.00	1/19/2010	Class A	Expired	10/14/2021	"1401 Grove Street
Urbana, IL
(-88.2015, 40.1004)"
601 East Washington Street	932117427006.00	12/10/2009	Class B	Issued	10/14/2021	"601 East Washington Street
Urbana, IL
(-88.2012, 40.1054)"
1806 South Glenwood Oaks Court	932121108022.00	9/7/2017	Class A	Issued	10/14/2021	"1806 South Glenwood Oaks Court
Urbana, IL
(40.09576, -88.19571)"
2410 East Florida Avenue	912115386002.00	3/19/2015	Class B	Issued	10/14/2021	"2410 East Florida Avenue
Urbana, IL
(-88.1757, 40.0987)"
808 West California Avenue	922117151005.00	9/12/2018	Class B	Issued	10/14/2021	"808 West California Avenue
Urbana, IL
(40.1084518433, -88.2187042236)"
906 South Timothy Trail	912115302002.00	2/8/2018	Class C	Issued	10/14/2021	"906 South Timothy Trail
Urbana, IL
(40.1051826477, -88.1778488159)"
2940 Rutherford Drive	912110406031.00	3/13/2015	Class A	Issued	10/14/2018	"2940 Rutherford Drive
Urbana, IL
(-88.1645, 40.1149)"
2001 East Florida Avenue Unit B	922116481045.00	1/16/2015	Class B	Issued	10/14/2019	"2001 East Florida Avenue
Unit B Urbana, IL
(-88.1853, 40.0983)"
1706 James Cherry Drive	922116456023.00	5/6/2013	Class B	Issued		"1706 James Cherry Drive
Urbana, IL
(-88.1856, 40.0993)"
1003 South Smith Road	912115326011.00	3/28/2018	Class B	Issued	10/14/2021	"1003 South Smith Road
Urbana, IL
(40.1043891907, -88.1766204834)"
1305 Silver Street	932121183002.00	5/15/2017	Class B	Issued	10/14/2021	"1305 Silver Street
Urbana, IL
(40.0912437439, -88.1920318604)"
809 East Main Street	922116103006.00	4/12/2012	Class B	Issued	10/14/2021	"809 East Main Street
Urbana, IL
(-88.1982, 40.1127)"
2207 South Philo Road	932121332017.00	5/11/2017	Class B	Issued	10/14/2021	"2207 South Philo Road
Urbana, IL
(40.089252, -88.19096)"
1810 South Larch Place	932121107013.00	8/30/2017	Class B	Issued	10/14/2021	"1810 South Larch Place
Urbana, IL
(40.0957794189, -88.1968231201)"
908 North Broadway Avenue Unit 304	912108257078.00	2/4/2008	Class B	Issued	10/14/2020	"908 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1211)"
802 East Shurts Street	932121355016.00	4/11/2017	Class B	Issued	10/14/2021	"802 East Shurts Street
Urbana, IL
(40.086464, -88.19832)"
903 Wabash Avenue	922116303007.00	6/22/2012	Class B	Issued		"903 Wabash Avenue
Urbana, IL
(-88.1968, 40.1053)"
1309 Laurel Drive	922116378018.00	4/27/2016	Class A	Issued		"1309 Laurel Drive
Urbana, IL
(-88.1922, 40.1007)"
808 Clark Street	912108352009.00	5/29/2008	Class B	Issued	10/14/2021	"808 Clark Street
Urbana, IL
(-88.2184, 40.1157)"
806 East Pennsylvania Avenue	922116351036.00	3/15/2016	Class B	Expired		"806 East Pennsylvania Avenue
Urbana, IL
(-88.1979, 40.101)"
107 Crystal Lake Drive	912108405005.00	9/18/2012	Class B	Expired		"107 Crystal Lake Drive
Urbana, IL
(-88.2068, 40.1185)"
705 Stoughton Street	912108360006.00	5/22/2008	Class B	Issued	10/14/2021	"705 Stoughton Street
Urbana, IL
(-88.2168, 40.113)"
1010 South Orchard Street	932117328005.00	4/9/2007	Class B	Issued		"1010 South Orchard Street
Urbana, IL
(-88.2141, 40.1038)"
603 West High Street	922117113005.00	6/24/2013	Class B	Issued		"603 West High Street
Urbana, IL
(-88.2149, 40.1096)"
715 West Michigan Avenue	932117355001.00	11/22/2019	Class B	Issued	10/14/2021	"715 West Michigan Avenue
Urbana, IL
(40.1015510559, -88.217124939)"
603 West Nevada Street	922117162006.00	4/24/2013	Class B	Issued	10/14/2021	"603 West Nevada Street
Urbana, IL
(-88.2147, 40.1062)"
714 West Washington Street	922117158010.00	8/6/2018	Class B	Expired	10/14/2020	"714 West Washington Street
Urbana, IL
(40.1057357788, -88.2174377441)"
907 East California Avenue	922116159002.00	12/3/2012	Class B	Issued	10/14/2021	"907 East California Avenue
Urbana, IL
(-88.197, 40.1083)"
907 West Oregon Street	932118280006.00	12/19/2016	Class B	Expired	10/14/2021	"907 West Oregon Street
Urbana, IL
(-88.2201, 40.1067)"
702 West Elm Street	922117105015.00	11/15/2018	Class B	Issued	10/14/2021	"702 West Elm Street
Urbana, IL
(40.1117362976, -88.2164764404)"
1905 East Florida Avenue Unit A	922116481051.00	1/16/2015	Class B	Issued		"1905 East Florida Avenue
Unit A Urbana, IL
(-88.1856, 40.0983)"
1309 Philo Road	922116377014.00	2/15/2016	Class B	Expired		"1309 Philo Road
Urbana, IL
(-88.1908, 40.1012)"
101 West Florida Avenue	932120201017.00	7/27/2016	Class B	Issued	10/14/2021	"101 West Florida Avenue
Urbana, IL
(-88.2075, 40.0981)"
1109 Stoughton Street	912107479003.00	1/16/2009	Class B	Issued	10/14/2021	"1109 Stoughton Street
Urbana, IL
(-88.2235, 40.1133)"
1307 East Green Street	922116129017.00	4/5/2012	Class B	Issued	10/14/2021	"1307 East Green Street
Urbana, IL
(-88.1924, 40.1108)"
103 North Cottage Grove Avenue	912109355019.00	2/23/2012	Class B	Issued	10/14/2021	"103 North Cottage Grove Avenue
Urbana, IL
(-88.1959, 40.1132)"
908 North Broadway Avenue Unit 301	912108257075.00	2/4/2008	Class B	Expired	10/14/2021	"908 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1211)"
1307 Laurel Drive	922116378017.00	4/27/2016	Class B	Issued	10/14/2020	"1307 Laurel Drive
Urbana, IL
(-88.1924, 40.1008)"
711 West Nevada Street	922117158001.00	8/7/2018	Class B	Issued	10/14/2021	"711 West Nevada Street
Urbana, IL
(40.1061820984, -88.2172317505)"
714 West Nevada Street	922117157009.00	5/18/2018	Class B	Issued	10/14/2021	"714 West Nevada Street
Urbana, IL
(40.106785, -88.21725)"
1004 South Lierman Avenue Unit A	922116402051.00	7/21/2014	Class B	Issued	10/14/2021	"1004 South Lierman Avenue
Unit A Urbana, IL
(-88.1887, 40.1047)"
713 Springfield Avenue	922117104001.00	10/24/2012	Class C	Issued	10/14/2021	"713 Springfield Avenue
Urbana, IL
(-88.2175, 40.1125)"
205 Grove Street	922117235010.00	7/6/2010	Class B	Issued	10/14/2020	"205 Grove Street
Urbana, IL
(-88.2016, 40.1112)"
2212 Easy Street	912115301009.00	5/5/2015	Class B	Issued	10/14/2021	"2212 Easy Street
Urbana, IL
(-88.179, 40.1046)"
608 East Colorado Avenue	932120229023.00	10/12/2017	Class B	Issued	10/14/2021	"608 East Colorado Avenue
Urbana, IL
(40.09497, -88.20019)"
1404 East Silver Street	932121180016.00	3/20/2017	Class C	Expired	10/14/2020	"1404 East Silver Street
Urbana, IL
(40.091705, -88.19101)"
110 South Gregory Street	932118228005.00	4/2/2009	Class A	Issued	10/14/2021	"110 South Gregory Street
Urbana, IL
(-88.2202, 40.1115)"
809 Clark Street	912108353007.00	5/17/2011	Class B	Issued	10/14/2021	"809 Clark Street
Urbana, IL
(-88.2185, 40.1153)"
1009 North Coler Avenue	912108153033.00	2/13/2012	Class B	Expired	10/14/2021	"1009 North Coler Avenue
Urbana, IL
(-88.2161, 40.1217)"
706 South Vine Street Apt B	922117284038.00	1/10/2020	Class A	Issued	10/14/2021	"706 South Vine Street
Apt B Urbana, IL
(40.10712, -88.20459)"
323 East Fairlawn Drive	932117428109.00	2/25/2020	Class B	Issued	10/14/2021	"323 East Fairlawn Drive
Urbana, IL
(40.1033935547, -88.2038040161)"
505 Urbana Avenue	922117276005.00	2/25/2010	Class A	Issued	10/14/2021	"505 Urbana Avenue
Urbana, IL
(-88.204, 40.1088)"
1617 Ivanhoe Way	922116454017.00	12/23/2014	Class B	Issued	10/14/2021	"1617 Ivanhoe Way
Urbana, IL
(-88.1878, 40.1013)"
1011 Austin Drive	922116402013.00	9/4/2014	Class C	Issued	10/14/2020	"1011 Austin Drive
Urbana, IL
(-88.1878, 40.1043)"
1002 South Lierman Avenue Unit D	922116402050.00	7/21/2014	Class B	Issued	10/14/2021	"1002 South Lierman Avenue
Unit D Urbana, IL
(-88.1887, 40.1047)"
608 West Washington Street	922117162019.00	4/17/2019	Class B	Issued	10/14/2021	"608 West Washington Street
Urbana, IL
(40.10582, -88.21515)"
1312 Greenridge Drive	912115307007.00	3/10/2015	Class A	Issued	10/14/2021	"1312 Greenridge Drive
Urbana, IL
(-88.177, 40.1021)"
906 South Race Street	932117401005.00	6/29/2009	Class B	Expired	10/14/2021	"906 South Race Street
Urbana, IL
(-88.2094, 40.1048)"
505 East California Avenue	922117282003.00	1/19/2010	Class B	Expired	10/14/2021	"505 East California Avenue
Urbana, IL
(-88.2018, 40.1083)"
1004 Fairlawn Drive	922116306023.00	3/21/2016	Class B	Expired	10/14/2021	"1004 Fairlawn Drive
Urbana, IL
(-88.1963, 40.1027)"
1307 Briarcliff Drive	922116379016.00	4/11/2016	Class B	Issued	10/14/2021	"1307 Briarcliff Drive
Urbana, IL
(-88.1927, 40.1001)"
705 South Busey Avenue	922117153015.00	2/18/2016	Class B	Issued		"705 South Busey Avenue
Urbana, IL
(-88.2179, 40.1067)"
2011 South Vawter Street	932121179009.00	3/9/2017	Class B	Issued	10/14/2021	"2011 South Vawter Street
Urbana, IL
(40.0926246643, -88.1921005249)"
709 West High Street	922117108004.00	8/20/2007	Class B	Issued	10/14/2021	"709 West High Street
Urbana, IL
(-88.217, 40.1096)"
401 South Busey Avenue	922117103017.00	10/2/2018	Class B	Issued	10/14/2021	"401 South Busey Avenue
Urbana, IL
(40.10961, -88.218)"
407 West Green Street	922117133002.00	5/7/2013	Class B	Issued	10/14/2021	"407 West Green Street
Urbana, IL
(-88.2126, 40.1104)"
908 South Cottage Grove Avenue	922116326019.00	2/19/2016	Class B	Issued	10/14/2020	"908 South Cottage Grove Avenue
Urbana, IL
(-88.1953, 40.1048)"
2304 East Main Street	912110382027.00	3/14/2012	Class A	Issued	10/14/2021	"2304 East Main Street
Urbana, IL
(-88.1779, 40.1132)"
1010 Anderson Street	922116301032.00	9/1/2009	Class B	Issued	10/14/2021	"1010 Anderson Street
Urbana, IL
(-88.1999, 40.1039)"
511 West Green Street	922117128001.00	2/6/2019	Class B	Issued	10/14/2021	"511 West Green Street
Urbana, IL
(40.110408783, -88.2143630981)"
604 West California Avenue	922117159012.00	2/7/2019	Class B	Issued	10/14/2021	"604 West California Avenue
Urbana, IL
(40.1085395813, -88.2148132324)"
1305 Bradley Avenue	912107203001.00	7/15/2011	Class B	Issued	10/14/2021	"1305 Bradley Avenue
Urbana, IL
(-88.2274, 40.1271)"
610 West Iowa Street	932117305027.00	9/12/2018	Class B	Issued	10/14/2021	"610 West Iowa Street
Urbana, IL
(40.1048965454, -88.2154922485)"
802 South Vine Street	922117284009.00	12/22/2009	Class B	Expired	10/14/2021	"802 South Vine Street
Urbana, IL
(-88.2047, 40.1063)"
1601 South Bunker Court	912115355026.00	3/15/2018	Class B	Issued	10/14/2021	"1601 South Bunker Court
Urbana, IL
(40.099472, -88.1787)"
1003 Clark Street	912107481005.00	3/23/2009	Class B	Issued	10/14/2021	"1003 Clark Street
Urbana, IL
(-88.2212, 40.1152)"
804 South Race Street	922117261009.00	6/4/2009	Class B	Issued		"804 South Race Street
Urbana, IL
(-88.2084, 40.1063)"
310 Crystal Lake Drive	912108404027.00	11/9/2010	Class B	Issued	10/14/2021	"310 Crystal Lake Drive
Urbana, IL
(-88.2044, 40.1191)"
1010 North Lincoln Avenue	912108151011.00	12/7/2011	Class B	Issued	10/14/2019	"1010 North Lincoln Avenue
Urbana, IL
(-88.2191, 40.1218)"
1402 Beech Street	912107251015.00	7/26/2011	Class B	Issued	10/14/2021	"1402 Beech Street
Urbana, IL
(-88.2274, 40.1224)"
404 East Elm Street	922117228007.00	10/3/2012	Class B	Expired	10/14/2021	"404 East Elm Street
Urbana, IL
(-88.2033, 40.112)"
105 North Busey Avenue	922117101005.00	7/24/2012	Class B	Expired	10/14/2021	"105 North Busey Avenue
Urbana, IL
(-88.2181, 40.1125)"
1701 East Washington Street	922116426001.00	7/21/2014	Class B	Issued	10/14/2021	"1701 East Washington Street
Urbana, IL
(-88.1863, 40.1055)"
503 West High Street	922117129004.00	6/18/2008	Class B	Expired	10/14/2021	"503 West High Street
Urbana, IL
(-88.2136, 40.1096)"
713 West Illinois Street	922117155001.00	7/10/2017	Class B	Expired	10/14/2020	"713 West Illinois Street
Urbana, IL
(40.1088943481, -88.2174911499)"
2304 South Lynn Street	932121376009.00	4/17/2017	Class B	Expired	10/14/2020	"2304 South Lynn Street
Urbana, IL
(40.08726, -88.19741)"
701 Indiana Avenue	932117308008.00	7/2/2009	Class A	Issued	10/14/2021	"701 Indiana Avenue
Urbana, IL
(-88.2159, 40.1025)"
117 West Michigan Avenue	932117451001.00	11/25/2019	Class B	Issued	10/14/2021	"117 West Michigan Avenue
Urbana, IL
(40.10178, -88.20932)"
1004 Geraldine Avenue	912108278011.00	11/3/2010	Class B	Issued	10/14/2021	"1004 Geraldine Avenue
Urbana, IL
(-88.2025, 40.1223)"
712 West Green Street	922117106010.00	7/16/2012	Class B	Issued	10/14/2021	"712 West Green Street
Urbana, IL
(-88.2173, 40.1109)"
806 North Busey Avenue	912108305003.00	10/15/2010	Class B	Issued	10/14/2021	"806 North Busey Avenue
Urbana, IL
(-88.2166, 40.1196)"
1505 Wiley Drive	922116352009.00	5/2/2016	Class B	Issued	10/14/2021	"1505 Wiley Drive
Urbana, IL
(-88.1981, 40.0994)"
2213 South Philo Road	932121332020.00	3/28/2017	Class B	Issued	10/14/2021	"2213 South Philo Road
Urbana, IL
(40.08856, -88.190956)"
812 West Main Street	912108353014.00	3/24/2011	Class C	Issued	10/14/2021	"812 West Main Street
Urbana, IL
(-88.2187, 40.1148)"
711 West Washington Street	932117305003.00	12/5/2007	Class B	Issued	10/14/2021	"711 West Washington Street
Urbana, IL
(-88.2171, 40.1053)"
403 South McCullough Street	922117129006.00	4/10/2019	Class B	Issued	10/14/2021	"403 South McCullough Street
Urbana, IL
(40.109493, -88.213356)"
1206 Hill Street	912107410014.00	4/23/2014	Class B	Expired	10/14/2021	"1206 Hill Street
Urbana, IL
(-88.2248, 40.1196)"
702 Western Avenue	922117104010.00	7/2/2012	Class B	Issued	10/14/2021	"702 Western Avenue
Urbana, IL
(-88.2164, 40.1123)"
1611 East Lexington Drive	932128406013.00	12/5/2017	Class A	Issued	10/14/2021	"1611 East Lexington Drive
Urbana, IL
(40.07518, -88.18751)"
802 West Iowa Street	932117301012.00	7/30/2008	Class B	Issued	10/14/2019	"802 West Iowa Street
Urbana, IL
(-88.218, 40.1048)"
704 North Lincoln Avenue	912108302004.00	1/23/2014	Class B	Issued	10/14/2021	"704 North Lincoln Avenue
Urbana, IL
(-88.2191, 40.1185)"
703 South Busey Avenue	922117153014.00	2/18/2016	Class B	Issued	10/14/2021	"703 South Busey Avenue
Urbana, IL
(-88.2179, 40.1068)"
1303 Berkley Avenue	912108203011.00	8/2/2010	Class B	Expired	10/14/2020	"1303 Berkley Avenue
Urbana, IL
(-88.2065, 40.125)"
610 West Oregon Street	922117160011.00	12/19/2007	Class B	Issued	10/14/2021	"610 West Oregon Street
Urbana, IL
(-88.2156, 40.1077)"
103 West California Avenue	922117256003.00	10/29/2019	Class C	Expired	10/14/2020	"103 West California Avenue
Urbana, IL
(40.108253479, -88.2079391479)"
502 West High Street	922117128015.00	6/18/2008	Class B	Expired	10/14/2020	"502 West High Street
Urbana, IL
(-88.2133, 40.11)"
804 East Shurts Street	932121355017.00	3/2/2017	Class C	Issued	10/14/2021	"804 East Shurts Street
Urbana, IL
(40.086464, -88.19807)"
808 West Nevada Street	922117153010.00	9/12/2018	Class B	Issued	10/14/2021	"808 West Nevada Street
Urbana, IL
(40.1067695618, -88.2186431885)"
1012 North Busey Avenue	912108153011.00	8/7/2012	Class B	Issued	10/14/2021	"1012 North Busey Avenue
Urbana, IL
(-88.2166, 40.1219)"
106 Scottswood Drive	912115132003.00	3/18/2015	Class B	Issued	10/14/2021	"106 Scottswood Drive
Urbana, IL
(-88.1745, 40.1123)"
1705 James Cherry Drive	922116461013.00	5/13/2013	Class B	Issued	10/14/2021	"1705 James Cherry Drive
Urbana, IL
(-88.1859, 40.0988)"
4 Rainbow Court	922116430017.00	1/20/2015	Class B	Issued	10/14/2021	"4 Rainbow Court
Urbana, IL
(-88.1835, 40.1037)"
1004 Stoughton Street	912107482013.00	7/13/2009	Class B	Issued	10/14/2021	"1004 Stoughton Street
Urbana, IL
(-88.2212, 40.1138)"
802 East Florida Avenue	922116352014.00	4/14/2016	Class A	Issued		"802 East Florida Avenue
Urbana, IL
(-88.1983, 40.0986)"
508 South Cottage Grove Avenue	922116176004.00	12/7/2012	Class B	Issued	10/14/2021	"508 South Cottage Grove Avenue
Urbana, IL
(-88.1954, 40.1087)"
708 North Busey Avenue	912108305008.00	2/12/2014	Class B	Temporarily Not a Rental	10/14/2021	"708 North Busey Avenue
Urbana, IL
(-88.2166, 40.1188)"
213 West Illinois Street	922117186001.00	6/4/2009	Class B	Issued	10/14/2021	"213 West Illinois Street
Urbana, IL
(-88.2101, 40.1089)"
801 Fairview Avenue	912108301011.00	7/15/2010	Class B	Issued	10/14/2019	"801 Fairview Avenue
Urbana, IL
(-88.2175, 40.1199)"
2110 East Rainbow View	912115304026.00	3/11/2015	Class B	Expired	10/14/2019	"2110 East Rainbow View
Urbana, IL
(-88.1802, 40.1035)"
1207 Cole Place	922116331016.00	2/15/2016	Class B	Issued		"1207 Cole Place
Urbana, IL
(-88.1937, 40.1042)"
702 East Shurts Street	932121355003.00	5/10/2017	Class B	Issued	10/14/2021	"702 East Shurts Street
Urbana, IL
(40.08641, -88.199135)"
606 South Broadway Avenue	922117257003.00	2/4/2010	Class B	Issued	10/14/2021	"606 South Broadway Avenue
Urbana, IL
(-88.2069, 40.1079)"
1304 Laurel Drive	922116377007.00	5/2/2016	Class B	Issued	10/14/2021	"1304 Laurel Drive
Urbana, IL
(-88.1922, 40.1012)"
404 East Florida Avenue	932117479018.00	1/15/2020	Class B	Issued	10/14/2021	"404 East Florida Avenue
Urbana, IL
(40.098606, -88.203125)"
1206 South Vine Street	932117430003.00	2/10/2010	Class B	Issued	10/14/2021	"1206 South Vine Street
Urbana, IL
(-88.2045, 40.1023)"
901 East Delaware Avenue	922116354001.00	4/15/2016	Class B	Issued	10/14/2020	"901 East Delaware Avenue
Urbana, IL
(-88.1976, 40.099)"
109 West Illinois Street	922117252014.00	6/19/2019	Class B	Fee Exempt Registration	10/14/2020	"109 West Illinois Street
Urbana, IL
(40.1089477539, -88.2084274292)"
901 Springfield Avenue	932118227010.00	2/18/2016	Class B	Issued		"901 Springfield Avenue
Urbana, IL
(-88.2195, 40.1125)"
1003 East Burkwood Drive	932121107007.00	9/26/2017	Class B	Issued	10/14/2021	"1003 East Burkwood Drive
Urbana, IL
(40.09657, -88.195564)"
707 East Florida Avenue	932121101003.00	9/20/2017	Class C	Expired	10/14/2020	"707 East Florida Avenue
Urbana, IL
(40.0980606079, -88.1988601685)"
1002 South Lierman Avenue Unit C	922116402049.00	7/21/2014	Class B	Issued	10/14/2021	"1002 South Lierman Avenue
Unit C Urbana, IL
(-88.1887, 40.1047)"
1109 South Austin Drive	922116403006.00	2/14/2018	Class B	Issued	10/14/2021	"1109 South Austin Drive
Urbana, IL
(40.1029624939, -88.187789917)"
602 South Busey Avenue	922117156001.00	8/2/2018	Class B	Issued	10/14/2021	"602 South Busey Avenue
Urbana, IL
(40.1080665588, -88.2174072266)"
908 Lanore Drive	922116426004.00	8/1/2014	Class B	Issued	10/14/2021	"908 Lanore Drive
Urbana, IL
(-88.1863, 40.105)"
2003 East Florida Avenue	922116481044.00	5/22/2018	Class B	Issued	10/14/2021	"2003 East Florida Avenue
Urbana, IL
(40.09857, -88.18225)"
1208 Briarcliff Drive	922116378030.00	4/13/2016	Class B	Expired	10/14/2021	"1208 Briarcliff Drive
Urbana, IL
(-88.1936, 40.101)"
1604 Kingston Drive	922116457015.00	4/18/2016	Class A	Issued		"1604 Kingston Drive
Urbana, IL
(-88.1891, 40.1007)"
711 West California Avenue	922117156002.00	12/17/2007	Class B	Issued	10/14/2021	"711 West California Avenue
Urbana, IL
(-88.2171, 40.1081)"
404 South Birch Street	922117138002.00	11/20/2019	Class B	Issued	10/14/2021	"404 South Birch Street
Urbana, IL
(40.1094932556, -88.2115707397)"
1208 South Lanore Drive	922116477004.00	3/15/2018	Class A	Issued	10/14/2021	"1208 South Lanore Drive
Urbana, IL
(40.10102, -88.18624)"
908 North Broadway Avenue Unit 510	912108257108.00	2/4/2008	Class B	Expired	10/14/2021	"908 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1211)"
2014 Vawter Street	932121180007.00	2/11/2013	Class B	Issued		"2014 Vawter Street
Urbana, IL
(-88.1915, 40.092)"
1716 Fairlawn Drive	922116456008.00	3/16/2016	Class A	Issued	10/14/2021	"1716 Fairlawn Drive
Urbana, IL
(-88.1862, 40.0992)"
502 Griggs Street	912108377009.00	8/30/2007	Class B	Issued	10/14/2019	"502 Griggs Street
Urbana, IL
(-88.2131, 40.1147)"
1208 Hill Street	912107410013.00	11/9/2011	Class B	Issued	10/14/2021	"1208 Hill Street
Urbana, IL
(-88.225, 40.1195)"
1008 East Delaware Avenue	922116353023.00	3/24/2016	Class B	Expired	10/14/2021	"1008 East Delaware Avenue
Urbana, IL
(-88.1958, 40.0994)"
711 West Illinois Street	922117155003.00	11/1/2012	Class B	Issued	10/14/2021	"711 West Illinois Street
Urbana, IL
(-88.2173, 40.1088)"
1209 South Race Street	932117332022.00	1/31/2020	Class B	Issued	10/14/2021	"1209 South Race Street
Urbana, IL
(40.10211, -88.20995)"
402 North Gregory Street	912107484004.00	4/8/2009	Class B	Expired	10/14/2021	"402 North Gregory Street
Urbana, IL
(-88.2205, 40.1157)"
507 West California Avenue	922117177003.00	5/6/2019	Class B	Issued	10/14/2021	"507 West California Avenue
Urbana, IL
(40.1080703735, -88.2139205933)"
802 West Green Street	922117102019.00	4/11/2018	Class B	Issued	10/14/2021	"802 West Green Street
Urbana, IL
(40.1108398438, -88.2180480957)"
1306 Anderson Street	922116307023.00	2/9/2016	Class B	Expired	10/14/2021	"1306 Anderson Street
Urbana, IL
(-88.1998, 40.1018)"
1601 Willow Road	912105477028.00	10/19/2007	Class B	Issued		"1601 Willow Road
Urbana, IL
(-88.201, 40.1276)"
2002 South Anderson Street	932121153001.00	2/27/2017	Class B	Issued	10/14/2021	"2002 South Anderson Street
Urbana, IL
(40.093594, -88.19842)"
4 Buena Vista Court	922117110007.00	2/23/2009	Class B	Expired	10/14/2021	"4 Buena Vista Court
Urbana, IL
(-88.2149, 40.1121)"
1203 North Coler Avenue	912108153025.00	1/10/2011	Class B	Issued		"1203 North Coler Avenue
Urbana, IL
(-88.2161, 40.123)"
907 East Main Street	922116104004.00	6/18/2009	Class B	Issued		"907 East Main Street
Urbana, IL
(-88.1971, 40.1126)"
2305 South Anderson Street	932121351003.00	2/21/2017	Class B	Issued	10/14/2021	"2305 South Anderson Street
Urbana, IL
(40.087147, -88.19981)"
3020 East Stillwater Landing Unit 204	932122406008.00	2/8/2018	Class B	Issued	10/14/2021	"3020 East Stillwater Landing
Urbana, IL
(40.090363, -88.16621)"
611 West Green Street	922117112001.00	5/28/2013	Class B	Issued	10/14/2021	"611 West Green Street
Urbana, IL
(-88.2158, 40.1104)"
907 Fairlawn Drive	922116307017.00	2/19/2016	Class B	Issued	10/14/2019	"907 Fairlawn Drive
Urbana, IL
(-88.1969, 40.1022)"
703 West Oregon Street	922117157005.00	7/30/2012	Class B	Issued	10/14/2021	"703 West Oregon Street
Urbana, IL
(-88.2164, 40.1072)"
1002 South Cottage Grove Avenue	922116326007.00	3/10/2016	Class B	Issued		"1002 South Cottage Grove Avenue
Urbana, IL
(-88.1954, 40.1046)"
1213 Beslin Street	912107410002.00	9/27/2011	Class C	Expired	10/14/2021	"1213 Beslin Street
Urbana, IL
(-88.2254, 40.1201)"
