Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City
484240,HONG SIK IN,LEIF'S HOME COOKING,12681,Restaurant,Risk 1 (High),10350 S TORRENCE AVE,CHICAGO
547381,ZAVALA'S GROCERY STORE INC,ZAVALA'S GROCERY STORE INC,1044988,Grocery Store,Risk 1 (High),2657 S KOLIN AVE,CHICAGO
579793,MAGGIE GYROS & CHICKEN,MAGGIE GYROS & CHICKEN,1869774,Restaurant,Risk 1 (High),349 E 47TH ST,CHICAGO
580557,SUBWAY,SUBWAY,1594765,Restaurant,Risk 1 (High),1118 S KEDZIE AVE,CHICAGO
491369,BIG TONY PIZZA INC NO 2,BIG TONY PIZZA INC NO 2,1520764,NA,Risk 3 (Low),3276 W FULLERTON AVE,CHICAGO
547465,Lou Malnati's Pizzeria,Lou Malnati's Pizzeria,1442277,Restaurant,Risk 1 (High),3859 W OGDEN AVE,CHICAGO
577252,PETE'S MARKET,PETE'S MARKET,36823,Grocery Store,Risk 1 (High),5724 S KEDZIE AVE,CHICAGO
537319,ON THE GO GROCERY,ON THE GO GROCERY,2093338,Grocery Store,Risk 3 (Low),1959 E 79TH ST,CHICAGO
580434,Clinton Annex,Clinton Annex,70213,School,Risk 1 (High),6330 N Washetnaw (2732W),CHICAGO
490923,ESPERANZA SCHOOL,ESPERANZA SCHOOL,2035,School,Risk 1 (High),520 N Marshfield ST,CHICAGO
491129,ARTHUR  A. LIBBY ELEMENTARY SCHOOL,ARTHUR  A. LIBBY ELEMENTARY,1981868,School,Risk 1 (High),5330 S LOOMIS,CHICAGO
557215,COLUTAS PIZZA,COLUTAS PIZZA,71931,Restaurant,Risk 1 (High),3239 N HARLEM AVE,CHICAGO
491455,WESTEND BAR & GRILL,WESTEND BAR & GRILL,2055257,Restaurant,Risk 1 (High),1326-1328 W MADISON ST,CHICAGO
604247,S & L ENTERPRISES L T D,S & L ENTERPRISES L T D,27251,Restaurant,Risk 1 (High),5454 N HARLEM AVE,CHICAGO
565230,BRIGHT HORIZONS CHICAGO WEST LOOP,BRIGHT HORIZONS CHICAGO WEST LOOP,43088,Daycare (2 - 6 Years),Risk 1 (High),500 W MONROE ST,CHICAGO
531269,Banneker,Banneker,26161,School,Risk 1 (High),6656 S Normal (500W),CHICAGO
580243,FOREVER YOGURT,FOREVER YOGURT,2087859,Restaurant,Risk 2 (Medium),931 W BELMONT AVE,CHICAGO
596246,SHAHNAWAZ RESTAURANT & CATERING,SHAHNAWAZ RESTAURANT & CATERING,1495511,NA,Risk 1 (High),2501 W DEVON AVE,CHICAGO
579384,SUPERMERCADO CHAPALA,SUPERMERCADO CHAPALA,32236,Grocery Store,Risk 1 (High),7117 N CLARK ST,CHICAGO
472226,ZARAGOZA RESTAURANT,ZARAGOZA RESTAURANT,1904141,Restaurant,Risk 1 (High),4852 S PULASKI RD,CHICAGO
491380,FUNSTON ANNEX  ELEM. SCHOOL,FUNSTON (ANNEX)  ELEM. SCHOOL,1964634,School,Risk 1 (High),3616 W ARMITAGE AVE,CHICAGO
490844,Taqueria Teloloapan,Taqueria Teloloapan,1976154,Restaurant,Risk 1 (High),3641 W FULLERTON AVE,CHICAGO
363481,SACRAMENTO FOOD MART,SACRAMENTO FOOD MART,5940,Grocery Store,Risk 1 (High),2458 S SACRAMENTO AVE,CHICAGO
